week,event_at,net_nav,net_weekly_return,gross_nav,gross_weekly_return,weekly_cost_drag
2025-W32,2025-08-08 20:00:00+00:00,102830.11622349088,0.010243440234216417,105707.59965076267,0.011147890840972563,0.0009044506067561464
2025-W33,2025-08-15 20:00:00+00:00,104139.22628047419,0.012730804019885467,107140.89182819298,0.013559026807586472,0.0008282227877010051
2025-W34,2025-08-22 20:00:00+00:00,104417.12593729809,0.0026685396727976762,107543.92544037705,0.003761716047971264,0.001093176375173588
2025-W35,2025-08-29 20:00:00+00:00,104092.35902058742,-0.003110284005572894,107344.26414184658,-0.0018565557999941085,0.0012537282055787857
2025-W36,2025-09-05 20:00:00+00:00,104566.21872869764,0.004552300596977643,107880.54181408415,0.004995867050044955,0.00044356645306731224
2025-W37,2025-09-12 20:00:00+00:00,104289.59571113324,-0.0026454338784317466,107666.5301202341,-0.0019837840100845883,0.0006616498683471583
2025-W38,2025-09-19 20:00:00+00:00,106346.06839911672,0.019718867198216028,109849.38499153712,0.020274219563548357,0.0005553523653323289
2025-W39,2025-09-26 20:00:00+00:00,105371.59598310152,-0.009163219954291146,109001.9428680985,-0.007714582321092789,0.0014486376331983575
2025-W40,2025-10-03 20:00:00+00:00,104704.1464094886,-0.006334245651171133,108460.53854393754,-0.004966923615445151,0.0013673220357259819
2025-W41,2025-10-10 20:00:00+00:00,104772.81511559918,0.000655835594533416,108654.89349605175,0.0017919416105007802,0.0011361060159673642
2025-W42,2025-10-17 20:00:00+00:00,105924.50010420625,0.01099221193337585,109932.99733281518,0.01176296617335404,0.0007707542399781886
2025-W43,2025-10-24 20:00:00+00:00,104443.80472800885,-0.013978780874497665,108578.52245016754,-0.012320912878842516,0.001657867995655149
2025-W44,2025-10-31 20:00:00+00:00,103821.5253334175,-0.0059580306961420915,108081.20207340972,-0.0045802831493315654,0.001377747546810526
2025-W45,2025-11-07 21:00:00+00:00,105151.58846617375,0.01281105366622981,109536.6495976286,0.013466241088161857,0.0006551874219320464
2025-W46,2025-11-14 21:00:00+00:00,105736.48678669374,0.005562429717437478,110248.08101855456,0.006494916756531577,0.0009324870390940987
2025-W47,2025-11-21 21:00:00+00:00,106109.13617480893,0.003524321636172223,110747.8379595968,0.004533021676432991,0.0010087000402607682
2025-W48,2025-11-28 18:00:00+00:00,106870.79120049322,0.007178034362936625,111573.12029015277,0.007451904667042486,0.000273870304105861
2025-W49,2025-12-05 21:00:00+00:00,107182.84989829101,0.0029199624545903635,111949.52730643033,0.0033736352922522084,0.00045367283766184485
2025-W50,2025-12-12 21:00:00+00:00,106796.26900433187,-0.0036067420704523068,111691.33379001897,-0.0023063386029726907,0.001300403467479616
2025-W51,2025-12-19 21:00:00+00:00,107948.35122417155,0.010787663563349259,112972.26324243087,0.011468476639557856,0.0006808130762085973
2025-W52,2025-12-26 21:00:00+00:00,107214.12732105216,-0.00680162220907532,112302.76951143521,-0.005926177911112274,0.0008754442979630461
2026-W01,2025-12-29 21:00:00+00:00,107589.67800639586,0.003502809701739329,112742.91275861234,0.003919255500927754,0.00041644579918842517
